Title,Quantity,Time Left,High Bid,Bid Count,URL,Company,City,State,Shipping?
2008 Chevy Impala- 258022- $120.00,1.0,11h  27m  ,575.0,15,https://texas.hibid.com/lot/83704487,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2005 Nissan Frontier- 464334- $120.00,1.0,11h  28m  ,1450.0,38,https://texas.hibid.com/lot/83704488,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2006 Chevy Trailblazer- 230229- $95.00,1.0,11h  28m  ,550.0,10,https://texas.hibid.com/lot/83704489,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2004 Honda Accord- 017833- $120.00,1.0,11h  29m  ,1025.0,14,https://texas.hibid.com/lot/83704490,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
1998 Ford Mustang- 240207-REBUILT SALVAGE,1.0,11h  29m  ,325.0,4,https://texas.hibid.com/lot/83704491,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2002 Daewood Lanos- 695612-REBUILT SALVAGE,1.0,11h  30m  ,0.0,0,https://texas.hibid.com/lot/83704492,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2004 VW Passat- 202491- $150.00,1.0,11h  30m  ,575.0,14,https://texas.hibid.com/lot/83704493,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2012 Ford Fiesta- 158290- $120.00,1.0,11h  31m  ,1475.0,30,https://texas.hibid.com/lot/83704494,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2005 Toyota Avalon- 049111- $120.00,1.0,11h  31m  ,775.0,15,https://texas.hibid.com/lot/83704495,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
1998 Mitsubishi 3000 GT- 001142- $95.00,1.0,11h  32m  ,300.0,3,https://texas.hibid.com/lot/83704496,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
1996 Mazda B3000- M08931,1.0,11h  32m  ,725.0,16,https://texas.hibid.com/lot/83704497,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
1999 BMW 323I- A84111- $150.00,1.0,11h  33m  ,450.0,7,https://texas.hibid.com/lot/83704498,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2012 Ford Focus- 409597- $120.00,1.0,11h  33m  ,1450.0,24,https://texas.hibid.com/lot/83704499,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2005 BMW 530I- R60851- $150.00,1.0,11h  34m  ,1825.0,41,https://texas.hibid.com/lot/83704500,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2007 Toyota Camry- 001274- $300.00,1.0,11h  34m  ,2125.0,32,https://texas.hibid.com/lot/83704501,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2008 Kia Spectra- 020411- $95.00,1.0,11h  35m  ,400.0,5,https://texas.hibid.com/lot/83704502,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
1997 Honda Civic- 030105- $95.00,1.0,11h  35m  ,325.0,4,https://texas.hibid.com/lot/83704503,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
1996 Chevy Caprice- 192200,1.0,11h  36m  ,375.0,4,https://texas.hibid.com/lot/83704504,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2006 Honda Civic- 551059,1.0,11h  36m  ,275.0,2,https://texas.hibid.com/lot/83704505,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2017 Chevy Spark- 769716- $95.00,1.0,11h  37m  ,925.0,20,https://texas.hibid.com/lot/83704506,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2013 Ford Focus- 133158- $120.00-REBUILT SALVAGE,1.0,11h  37m  ,1050.0,19,https://texas.hibid.com/lot/83704507,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2013 Chevy Cruze- 222506- $120.00,1.0,11h  38m  ,1525.0,45,https://texas.hibid.com/lot/83704508,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2005 Chevy Cobalt- 521929- $50.00,1.0,11h  38m  ,375.0,6,https://texas.hibid.com/lot/83704509,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2002 Chevy K1500 Suburban- 068884- $95.00,1.0,11h  39m  ,975.0,21,https://texas.hibid.com/lot/83704510,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2000 Honda Accord- 040977-REBUILT SALVAGE,1.0,11h  39m  ,275.0,2,https://texas.hibid.com/lot/83704511,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
1997 Ford F350- 0C2278- $95.00,1.0,11h  40m  ,4525.0,81,https://texas.hibid.com/lot/83704512,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2013 CHEVY CRUZE-127726-$120.00,1.0,11h  40m  ,2525.0,41,https://texas.hibid.com/lot/83704513,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2003 Mazda PDS- 160941- $95.00-,1.0,11h  41m  ,325.0,4,https://texas.hibid.com/lot/84389896,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2005 Dodge Caravan- 322484- $95.00-,1.0,11h  41m  ,475.0,3,https://texas.hibid.com/lot/84389897,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2005 Chevy Classic- 156061- $95.00,1.0,11h  42m  ,250.0,1,https://texas.hibid.com/lot/84389898,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2004 GMC Yukon- 333767- $95.00,1.0,11h  42m  ,525.0,7,https://texas.hibid.com/lot/84389899,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2001 Ford F150- C65373,1.0,11h  43m  ,775.0,13,https://texas.hibid.com/lot/84389900,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2007 Chevy Trailblazer- 200238,1.0,11h  43m  ,375.0,4,https://texas.hibid.com/lot/84389901,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2003 Pontiac Grand Am- 196607,1.0,11h  44m  ,0.0,0,https://texas.hibid.com/lot/84389902,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2006 Pontiac Vibe- 412477- $95.00-,1.0,11h  44m  ,325.0,4,https://texas.hibid.com/lot/84389903,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2011- Toyota Camry- R183641- $95.00,1.0,11h  45m  ,525.0,7,https://texas.hibid.com/lot/84389904,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2000 Ford Expedition- B58739- $95.00,1.0,11h  45m  ,675.0,8,https://texas.hibid.com/lot/84389905,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2007 Toyota Camry- 131114- $95.00,1.0,11h  46m  ,825.0,20,https://texas.hibid.com/lot/84389906,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2005 Ford F150- 09764- $95.00,1.0,11h  46m  ,675.0,8,https://texas.hibid.com/lot/84389907,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2005 Ford Focus- 149495- $95.00,1.0,11h  47m  ,300.0,3,https://texas.hibid.com/lot/84389908,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2007 Mazda 3- 657260- $95.00,1.0,11h  47m  ,325.0,4,https://texas.hibid.com/lot/84389909,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
1995 Lexus ES 300- 097849,1.0,11h  48m  ,0.0,0,https://texas.hibid.com/lot/84389910,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
1989 Chevy S10- 177076,1.0,11h  48m  ,275.0,2,https://texas.hibid.com/lot/84389911,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2006 Ford Escape- B20301,1.0,11h  49m  ,350.0,3,https://texas.hibid.com/lot/84389912,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2003 Toyota Corolla- 008609- $95.00,1.0,11h  49m  ,325.0,4,https://texas.hibid.com/lot/84389913,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
1998 Mercedes Benz E320- 499787- $250.00,1.0,11h  50m  ,425.0,6,https://texas.hibid.com/lot/84389914,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2003 Acura MDX- 506139,1.0,11h  50m  ,0.0,0,https://texas.hibid.com/lot/84389915,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
20070 Mercedes Benz C350- 896989,1.0,11h  51m  ,400.0,4,https://texas.hibid.com/lot/84389916,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
2001 Ford Expedition- 59780- $95.00,1.0,11h  51m  ,400.0,4,https://texas.hibid.com/lot/84389917,"Ward Auction Co, Inc",SAN ANTONIO,TX,False
03 SAAB 93 YS3FB49S831017345 KEY/STARTS/TITLE,1.0,12h  27m  ,575.0,6,https://texas.hibid.com/lot/84458127,JD Newell Auctioneers,DALLAS,TX,False
00 HON ACC 1HGCG5673YA063997,1.0,12h  27m  ,300.0,6,https://texas.hibid.com/lot/84308801,JD Newell Auctioneers,Duncanville,TX,False
06 HON ACC 1HGCM563X6A173836 Y,1.0,12h  27m  ,350.0,7,https://texas.hibid.com/lot/84308802,JD Newell Auctioneers,Duncanville,TX,False
10 DODG CAL 1B3CB4HA6AD661944 26,1.0,12h  27m  ,325.0,6,https://texas.hibid.com/lot/84308803,JD Newell Auctioneers,Duncanville,TX,False
08 JEEP COM 1J8FT47078D767372 KEY,1.0,12h  27m  ,850.0,14,https://texas.hibid.com/lot/84458131,JD Newell Auctioneers,DALLAS,TX,False
03 HONDA CIVIC 1HGEM22913L047270 KEY/STARTS,1.0,12h  27m  ,675.0,9,https://texas.hibid.com/lot/84458132,JD Newell Auctioneers,DALLAS,TX,False
10 DODG AVG 1B3CC5FB4AN136194 NK,1.0,12h  27m  ,200.0,1,https://texas.hibid.com/lot/84308804,JD Newell Auctioneers,Duncanville,TX,False
13 DODG AVG 1C3CDZABXDN664745 NK,1.0,12h  27m  ,325.0,6,https://texas.hibid.com/lot/84308805,JD Newell Auctioneers,Duncanville,TX,False
08 DODG AVG 1B3LC56K48N289118 NK,1.0,12h  27m  ,200.0,1,https://texas.hibid.com/lot/84308806,JD Newell Auctioneers,Duncanville,TX,False
07 MERCURY GRAND MARQ 2MEFM75VX7X639198 NO KEY,1.0,12h  27m  ,525.0,2,https://texas.hibid.com/lot/84458134,JD Newell Auctioneers,DALLAS,TX,False
11 DODGE AVENGER 1B3BD4FB2BN578993 NO KEY,1.0,12h  27m  ,700.0,2,https://texas.hibid.com/lot/84458135,JD Newell Auctioneers,DALLAS,TX,False
03 FORD MUST 1FAFP40403F393151 NK,1.0,12h  27m  ,200.0,1,https://texas.hibid.com/lot/84308807,JD Newell Auctioneers,Duncanville,TX,False
01 FORD EXPL 1FMZU63E11ZA38738 52,1.0,12h  28m  ,475.0,5,https://texas.hibid.com/lot/84308808,JD Newell Auctioneers,Duncanville,TX,False
01 CHEV 2500 VAN 1GCGG25R511125374 key,1.0,12h  27m  ,575.0,4,https://texas.hibid.com/lot/84458136,JD Newell Auctioneers,DALLAS,TX,False
07 FORD FOC 1FAFP34N57W145318 IV,1.0,12h  28m  ,200.0,1,https://texas.hibid.com/lot/84308809,JD Newell Auctioneers,Duncanville,TX,False
08 FORD ESCP 1FMCU03158KC90348 NK,1.0,12h  28m  ,275.0,4,https://texas.hibid.com/lot/84308810,JD Newell Auctioneers,Duncanville,TX,False
18 FORD FIES 3FADP4BJ5JM132203 DSO,1.0,12h  28m  ,775.0,20,https://texas.hibid.com/lot/84308811,JD Newell Auctioneers,Duncanville,TX,False
07 CAD ESCL 1GYFK63817R388221 NK,1.0,12h  28m  ,1350.0,25,https://texas.hibid.com/lot/84308812,JD Newell Auctioneers,Duncanville,TX,False
03 CHEV IMP 2G1WF52E639118376 45,1.0,12h  28m  ,200.0,1,https://texas.hibid.com/lot/84308813,JD Newell Auctioneers,Duncanville,TX,False
15 CHEV IMP 2G1WB5E39F1139165 35,1.0,12h  28m  ,250.0,3,https://texas.hibid.com/lot/84308814,JD Newell Auctioneers,Duncanville,TX,False
01 CHEV TAH 1GNEC13T51R130501 NK,1.0,12h  28m  ,250.0,3,https://texas.hibid.com/lot/84308815,JD Newell Auctioneers,Duncanville,TX,False
10 CHEV MAL 1G1ZC5EB9AF181984 NK,1.0,12h  28m  ,300.0,5,https://texas.hibid.com/lot/84308816,JD Newell Auctioneers,Duncanville,TX,False
15 CHEV SON 1G1JE6SB3F4186585 28,1.0,12h  28m  ,525.0,14,https://texas.hibid.com/lot/84308817,JD Newell Auctioneers,Duncanville,TX,False
02 PONT GR PX 1G2WR12102F278610 NK,1.0,12h  28m  ,200.0,1,https://texas.hibid.com/lot/84308818,JD Newell Auctioneers,Duncanville,TX,False
08 PONT G6 1G2ZF57BX84259016 NK,1.0,12h  28m  ,225.0,2,https://texas.hibid.com/lot/84308819,JD Newell Auctioneers,Duncanville,TX,False
05 SAT VUE 5GZCZ33D35S822059 37,1.0,12h  29m  ,0.0,0,https://texas.hibid.com/lot/84308820,JD Newell Auctioneers,Duncanville,TX,False
04 BMW 330I WBAEV53474KM33258 NK,1.0,12h  29m  ,200.0,1,https://texas.hibid.com/lot/84308821,JD Newell Auctioneers,Duncanville,TX,False
02 BMW 320I WBAEV53442KM18021 IV,1.0,12h  29m  ,225.0,2,https://texas.hibid.com/lot/84308822,JD Newell Auctioneers,Duncanville,TX,False
04 HON CIV 1HGEM22904L064773 NK,1.0,12h  29m  ,225.0,2,https://texas.hibid.com/lot/84308823,JD Newell Auctioneers,Duncanville,TX,False
02 HON ODYS 5FNRL18062B028494 NK,1.0,12h  29m  ,275.0,4,https://texas.hibid.com/lot/84308824,JD Newell Auctioneers,Duncanville,TX,False
03 HON ACC 1HGCM56683A126634 IV,1.0,12h  29m  ,200.0,1,https://texas.hibid.com/lot/84308825,JD Newell Auctioneers,Duncanville,TX,False
00 HON ACC 1HGCG1656YA092773 31,1.0,12h  29m  ,300.0,5,https://texas.hibid.com/lot/84308826,JD Newell Auctioneers,Duncanville,TX,False
05 KIA SOR KNDJD733855466132 43,1.0,12h  29m  ,250.0,3,https://texas.hibid.com/lot/84308827,JD Newell Auctioneers,Duncanville,TX,False
99 MERZ CLK320 WDBLK65G3XT006785 NK,1.0,12h  29m  ,225.0,2,https://texas.hibid.com/lot/84308828,JD Newell Auctioneers,Duncanville,TX,False
08 NIS ALT 1N4AL21E38N502362 NK,1.0,12h  29m  ,200.0,1,https://texas.hibid.com/lot/84308829,JD Newell Auctioneers,Duncanville,TX,False
19 NIS SENT 3N1AB7AP1KY202652 23,1.0,12h  29m  ,525.0,11,https://texas.hibid.com/lot/84308830,JD Newell Auctioneers,Duncanville,TX,False
02 TOY COR 1NXBR12E82Z583048 DSO,1.0,12h  29m  ,225.0,2,https://texas.hibid.com/lot/84308831,JD Newell Auctioneers,Duncanville,TX,False
20 VOLKS JET 3VWCB7BU2LM073465 NK,1.0,12h  30m  ,200.0,1,https://texas.hibid.com/lot/84308832,JD Newell Auctioneers,Duncanville,TX,False
08 GMC ARCD 1GKER13798J151729 NK,1.0,12h  30m  ,200.0,1,https://texas.hibid.com/lot/84308833,JD Newell Auctioneers,Duncanville,TX,False
95 GMC SIER 1GTEC14Z8SZ567213 NK,1.0,12h  30m  ,325.0,6,https://texas.hibid.com/lot/84308834,JD Newell Auctioneers,Duncanville,TX,False
06 SCION TC JTLDE177260096033,1.0,12h  30m  ,475.0,10,https://texas.hibid.com/lot/84308835,JD Newell Auctioneers,Duncanville,TX,False
10 CHRY 2C3CDA5CV1AH284626,1.0,12h  30m  ,250.0,3,https://texas.hibid.com/lot/84308836,JD Newell Auctioneers,Duncanville,TX,False
99 FOR MUST 1FAFP4441XF189085 NK,1.0,12h  30m  ,200.0,1,https://texas.hibid.com/lot/84308837,JD Newell Auctioneers,Duncanville,TX,False
17 CHEV MAL 1G1ZE5ST9HF169013 NK,1.0,12h  30m  ,3100.0,37,https://texas.hibid.com/lot/84308838,JD Newell Auctioneers,Duncanville,TX,False
11 CHEV HHR 3GNBACFU3BS569316 NK,1.0,12h  30m  ,300.0,5,https://texas.hibid.com/lot/84308839,JD Newell Auctioneers,Duncanville,TX,False
97 HON ACC 1HGCD5601VA032139 IV,1.0,12h  30m  ,200.0,1,https://texas.hibid.com/lot/84308840,JD Newell Auctioneers,Duncanville,TX,False
11 NIS ALT 1N4AL2AP4BN469073 NK,1.0,12h  30m  ,225.0,2,https://texas.hibid.com/lot/84308841,JD Newell Auctioneers,Duncanville,TX,False
14 NIS SENT 3N1AB7AP7EL650024,1.0,12h  30m  ,250.0,3,https://texas.hibid.com/lot/84308842,JD Newell Auctioneers,Duncanville,TX,False
95 TOY COR 1NXAE04B4SZ280823 NK,1.0,12h  30m  ,200.0,1,https://texas.hibid.com/lot/84308843,JD Newell Auctioneers,Duncanville,TX,False
97 TOY 4RUN JT3GM84R2V0016576,1.0,12h  31m  ,350.0,8,https://texas.hibid.com/lot/84308844,JD Newell Auctioneers,Duncanville,TX,False
12 Chev Impala 2g1wf5e32c1210853 Y,1.0,12h  31m  ,775.0,17,https://texas.hibid.com/lot/84308845,JD Newell Auctioneers,Duncanville,TX,False
08 DDGE AVGR 1B3LC56K28N684009 Y,1.0,12h  31m  ,650.0,17,https://texas.hibid.com/lot/84308846,JD Newell Auctioneers,Duncanville,TX,False
2011 Ford Escape 1FMCU0EG8BKA07384,1.0,15h  27m  ,4800.0,12,https://texas.hibid.com/lot/83040805,C.M. Company Auctions,Abilene,TX,False
2014 Ram Ram Pickup 2500 3C6TR5CT3EG178131,1.0,15h  27m  ,7000.0,26,https://texas.hibid.com/lot/82913550,C.M. Company Auctions,Abilene,TX,False
1994 Ford F-150 Centurion 1FTEF15H7RLB44598,1.0,15h  27m  ,3200.0,10,https://texas.hibid.com/lot/83040806,C.M. Company Auctions,Abilene,TX,False
2001 CADILLAC DEVILLE,1.0,15h  28m  ,0.0,0,https://texas.hibid.com/lot/82253820,C.M. Company Auctions,Benavides,TX,False
2008 Ford Expedition EL 1FMFK17528LA25967,1.0,15h  28m  ,3600.0,8,https://texas.hibid.com/lot/83040807,C.M. Company Auctions,Abilene,TX,False
2009 Honda Civic,1.0,15h  30m  ,650.0,4,https://texas.hibid.com/lot/82253824,C.M. Company Auctions,Benavides,TX,False
2012 Dodge Avenger,1.0,15h  30m  ,0.0,0,https://texas.hibid.com/lot/82253825,C.M. Company Auctions,Benavides,TX,False
2012 Dodge Charger,1.0,15h  32m  ,550.0,3,https://texas.hibid.com/lot/83740281,C.M. Company Auctions,Benavides,TX,False
2015 ELITE TRAILER,1.0,18h  27m  ,15000.0,22,https://texas.hibid.com/lot/82989279,Heidenheimer Auction Company,Temple,TX,False
LL-1997 CHEVY SILVERADO,1.0,18h  28m  ,2000.0,17,https://texas.hibid.com/lot/83093875,Heidenheimer Auction Company,Temple,TX,False
LL-2001 FORD F-350,1.0,18h  28m  ,6000.0,21,https://texas.hibid.com/lot/82796292,Heidenheimer Auction Company,Temple,TX,False
LL-2008 CHRYSLER TOWN & COUNTRY,1.0,18h  28m  ,1700.0,19,https://texas.hibid.com/lot/82989280,Heidenheimer Auction Company,Temple,TX,False
LL- 2000 FORD F250,1.0,18h  28m  ,1700.0,31,https://texas.hibid.com/lot/83708686,Heidenheimer Auction Company,Temple,TX,False
LOT 10- 1998 CHEVY SILVERADO FLAT BED,1.0,18h  46m  ,1025.0,24,https://texas.hibid.com/lot/83186640,Heidenheimer Auction Company,Temple,TX,False
Factory OEM Rims - Believed to be Jeep,1.0,19h  27m  ,3.0,1,https://texas.hibid.com/lot/84251885,Central Treasures,Van Alstyne,TX,True
2009 Mercedes Benz CLS 550,1.0,19h  57m  ,0.0,0,https://texas.hibid.com/lot/84235885,Shepherd Resources,Fort Worth,TX,True
2000 Toyota Sienna base,1.0,19h  58m  ,0.0,0,https://texas.hibid.com/lot/84554117,Shepherd Resources,Fort Worth,TX,True
2015 Freightliner Cascadia Evolution,1.0,1d  12h  2m  ,11250.0,42,https://texas.hibid.com/lot/83821174,Mel Davis Auctions,Elmendorf,TX,False
2006 MERCURY Grand Marquis,1.0,1d  17h  27m  ,550.0,7,https://texas.hibid.com/lot/84374130,Peak Auto Auctions - Texas,Dallas,TX,False
2001 ISUZU RODEO S/LS/LSE,1.0,1d  17h  27m  ,425.0,6,https://texas.hibid.com/lot/84374131,Peak Auto Auctions - Texas,Dallas,TX,False
2003 VOLKSWAGEN Passat,1.0,1d  17h  28m  ,425.0,5,https://texas.hibid.com/lot/84374132,Peak Auto Auctions - Texas,Dallas,TX,False
2005 CHEVROLET Impala,1.0,1d  17h  28m  ,425.0,6,https://texas.hibid.com/lot/84374133,Peak Auto Auctions - Texas,Dallas,TX,False
1997 Chevrolet ASTRO VAN,1.0,1d  17h  28m  ,525.0,5,https://texas.hibid.com/lot/84374134,Peak Auto Auctions - Texas,Dallas,TX,False
2005 CHEVROLET Impala,1.0,1d  17h  29m  ,500.0,3,https://texas.hibid.com/lot/84374135,Peak Auto Auctions - Texas,Dallas,TX,False
2007 SAAB 9-3 2.0T,1.0,1d  17h  29m  ,425.0,5,https://texas.hibid.com/lot/84374136,Peak Auto Auctions - Texas,Dallas,TX,False
2001 FORD Mustang,1.0,1d  17h  29m  ,625.0,6,https://texas.hibid.com/lot/84374137,Peak Auto Auctions - Texas,Dallas,TX,False
2004 CHEVROLET Impala,1.0,1d  17h  30m  ,375.0,5,https://texas.hibid.com/lot/84374138,Peak Auto Auctions - Texas,Dallas,TX,False
2000 ISUZU Rodeo,1.0,1d  17h  30m  ,375.0,5,https://texas.hibid.com/lot/84374139,Peak Auto Auctions - Texas,Dallas,TX,False
2004 CHEVROLET Impala,1.0,1d  17h  30m  ,425.0,5,https://texas.hibid.com/lot/84374140,Peak Auto Auctions - Texas,Dallas,TX,False
2011 MITSUBISHI Galant,1.0,1d  17h  31m  ,425.0,5,https://texas.hibid.com/lot/84374141,Peak Auto Auctions - Texas,Dallas,TX,False
2002 CHEVROLET Trailblazer,1.0,1d  17h  31m  ,525.0,5,https://texas.hibid.com/lot/84374142,Peak Auto Auctions - Texas,Dallas,TX,False
2002 Pontiac GRAND AM SE1,1.0,1d  17h  31m  ,375.0,4,https://texas.hibid.com/lot/84374143,Peak Auto Auctions - Texas,Dallas,TX,False
1999 PONTIAC GRAND PRIX GT,1.0,1d  17h  32m  ,325.0,4,https://texas.hibid.com/lot/84374144,Peak Auto Auctions - Texas,Dallas,TX,False
2004 OLDSMOBILE Alero,1.0,1d  17h  32m  ,300.0,4,https://texas.hibid.com/lot/84374145,Peak Auto Auctions - Texas,Dallas,TX,False
2003 CHRYSLER Town and Country,1.0,1d  17h  32m  ,425.0,5,https://texas.hibid.com/lot/84374146,Peak Auto Auctions - Texas,Dallas,TX,False
2007 SAAB 44442,1.0,1d  17h  33m  ,425.0,5,https://texas.hibid.com/lot/84374147,Peak Auto Auctions - Texas,Dallas,TX,False
2009 VOLKSWAGEN Jetta,1.0,1d  17h  33m  ,525.0,7,https://texas.hibid.com/lot/84374148,Peak Auto Auctions - Texas,Dallas,TX,False
2005 FORD Taurus,1.0,1d  17h  33m  ,500.0,5,https://texas.hibid.com/lot/84374149,Peak Auto Auctions - Texas,Dallas,TX,False
2002 CHEVROLET Malibu,1.0,1d  17h  34m  ,250.0,3,https://texas.hibid.com/lot/84374150,Peak Auto Auctions - Texas,Dallas,TX,False
2006 FORD Five Hundred,1.0,1d  17h  34m  ,475.0,4,https://texas.hibid.com/lot/84374151,Peak Auto Auctions - Texas,Dallas,TX,False
2005 CHEVROLET Malibu,1.0,1d  17h  34m  ,350.0,5,https://texas.hibid.com/lot/84374152,Peak Auto Auctions - Texas,Dallas,TX,False
2002 CHEVROLET Tahoe,1.0,1d  17h  35m  ,600.0,8,https://texas.hibid.com/lot/84374153,Peak Auto Auctions - Texas,Dallas,TX,False
2008 FORD F150 KEY,1.0,1d  17h  35m  ,1100.0,12,https://texas.hibid.com/lot/84374154,Peak Auto Auctions - Texas,Dallas,TX,False
2010 DODGE Charger,1.0,1d  17h  35m  ,925.0,5,https://texas.hibid.com/lot/84374155,Peak Auto Auctions - Texas,Dallas,TX,False
2005 CHRYSLER Pacifica,1.0,1d  17h  36m  ,550.0,4,https://texas.hibid.com/lot/84374156,Peak Auto Auctions - Texas,Dallas,TX,False
2007 CHEVROLET HHR,1.0,1d  17h  36m  ,425.0,6,https://texas.hibid.com/lot/84374157,Peak Auto Auctions - Texas,Dallas,TX,False
2000 TOYOTA 4-Runner,1.0,1d  17h  36m  ,650.0,7,https://texas.hibid.com/lot/84374158,Peak Auto Auctions - Texas,Dallas,TX,False
2004 LEXUS ES,1.0,1d  17h  37m  ,525.0,10,https://texas.hibid.com/lot/84374159,Peak Auto Auctions - Texas,Dallas,TX,False
2005 FORD F-150 KEY,1.0,1d  17h  37m  ,1100.0,15,https://texas.hibid.com/lot/84374160,Peak Auto Auctions - Texas,Dallas,TX,False
2002 HYUNDAI Sonata,1.0,1d  17h  37m  ,500.0,8,https://texas.hibid.com/lot/84374161,Peak Auto Auctions - Texas,Dallas,TX,False
2000 FORD Expedition,1.0,1d  17h  38m  ,475.0,5,https://texas.hibid.com/lot/84374162,Peak Auto Auctions - Texas,Dallas,TX,False
2008 PONTIAC Grand Prix KEY,1.0,1d  17h  38m  ,425.0,4,https://texas.hibid.com/lot/84374163,Peak Auto Auctions - Texas,Dallas,TX,False
2005 HYUNDAI XG 350,1.0,1d  17h  38m  ,450.0,7,https://texas.hibid.com/lot/84374164,Peak Auto Auctions - Texas,Dallas,TX,False
2006 FORD Fusion KEY,1.0,1d  17h  39m  ,500.0,5,https://texas.hibid.com/lot/84374165,Peak Auto Auctions - Texas,Dallas,TX,False
